real,user,sys
0m40.184s,0m0.409s,0m0.715s
0m40.451s,0m0.330s,0m0.807s
0m41.094s,0m0.135s,0m0.417s
0m41.137s,0m0.086s,0m0.505s
0m40.343s,0m0.393s,0m0.727s
0m39.820s,0m0.370s,0m0.749s
0m39.130s,0m0.169s,0m0.566s
0m39.808s,0m0.331s,0m0.789s
0m39.364s,0m0.300s,0m0.480s
0m40.232s,0m0.378s,0m0.755s
0m40.512s,0m0.337s,0m0.821s
0m40.917s,0m0.156s,0m0.542s
0m40.205s,0m0.272s,0m0.861s
0m40.209s,0m0.310s,0m0.814s
0m40.883s,0m0.170s,0m0.456s
0m39.155s,0m0.143s,0m0.572s
0m40.812s,0m0.331s,0m0.789s
0m40.324s,0m0.358s,0m0.774s
0m40.305s,0m0.325s,0m0.785s
0m40.819s,0m0.181s,0m0.452s
0m40.982s,0m0.167s,0m0.430s
0m39.392s,0m0.248s,0m0.517s
0m39.606s,0m0.173s,0m0.458s
0m40.317s,0m0.214s,0m0.544s
0m40.316s,0m0.330s,0m0.784s
0m39.291s,0m0.196s,0m0.542s
0m39.280s,0m0.178s,0m0.547s
0m40.824s,0m0.295s,0m0.776s
0m40.405s,0m0.322s,0m0.779s
0m40.243s,0m0.328s,0m0.782s
