real,user,sys
0m0.169s,0m0.148s,0m0.010s
0m0.150s,0m0.129s,0m0.009s
0m0.151s,0m0.130s,0m0.010s
0m0.151s,0m0.140s,0m0.000s
0m0.144s,0m0.123s,0m0.009s
0m0.147s,0m0.135s,0m0.000s
0m0.147s,0m0.135s,0m0.000s
0m0.144s,0m0.132s,0m0.000s
0m0.176s,0m0.164s,0m0.000s
0m0.146s,0m0.135s,0m0.000s
0m0.149s,0m0.128s,0m0.010s
0m0.144s,0m0.132s,0m0.000s
0m0.149s,0m0.127s,0m0.011s
0m0.148s,0m0.125s,0m0.010s
0m0.151s,0m0.130s,0m0.010s
0m0.158s,0m0.137s,0m0.010s
0m0.145s,0m0.123s,0m0.009s
0m0.148s,0m0.137s,0m0.000s
0m0.162s,0m0.150s,0m0.000s
0m0.146s,0m0.134s,0m0.001s
0m0.146s,0m0.125s,0m0.010s
0m0.156s,0m0.135s,0m0.010s
0m0.159s,0m0.137s,0m0.010s
0m0.153s,0m0.141s,0m0.000s
0m0.141s,0m0.119s,0m0.010s
0m0.158s,0m0.145s,0m0.000s
0m0.145s,0m0.123s,0m0.010s
0m0.155s,0m0.132s,0m0.011s
0m0.153s,0m0.133s,0m0.009s
0m0.176s,0m0.164s,0m0.000s
