bandwidth,iops
9911219,9678.924826
9624964,9399.379695
9916985,9684.55663
10001507,9767.097003
9941501,9708.497676
9804518,9574.724924
9943066,9710.026021
9911767,9679.460906
10352112,10109.484969
9753575,9524.975701
9544202,9320.509858
9855815,9624.819863
9668733,9442.12223
9782365,9553.091661
9802638,9572.889278
9832440,9601.992601
9791554,9562.064563
10834058,10580.134802
9822815,9592.593609
9855815,9624.819863
9812044,9582.074549
9856086,9625.084908
9787180,9557.7938
10041539,9806.190966
9872580,9641.191615
9728654,9500.638766
9801385,9571.665906
10119901,9882.716631
9542336,9318.687569
9840911,9610.26487
