bandwidth,iops
224961622,429.080243
224397455,428.00418
224914500,428.990364
225244771,429.620306
225244771,429.620306
225576013,430.252101
224444361,428.093645
222537165,424.455959
216786154,413.486776
216698652,413.319879
216523860,412.986489
231260354,441.09412
221298809,422.093982
215178722,410.420842
216698652,413.319879
216786154,413.486776
216917540,413.737374
216873727,413.653807
217005219,413.904608
219310013,418.300654
217136870,414.155713
217049085,413.988276
216305766,412.570508
235728172,449.615807
216829932,413.570275
216698652,413.319879
215957728,411.906677
228552963,435.930183
216698652,413.319879
216480206,412.903226
